[reporter],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,
[mean],2.739208013,2.803780273,2.768434743,2.683162585,2.750791635,2.758897728,2.75283801,2.829059178,2.795957018,2.789735997,2.765417145,2.682643916,2.724670838,2.669999838,2.742937553,2.718064749,2.760587861,2.626389829,2.739548816,2.681365724,2.766157774,2.872570929,2.724766771,2.78774785,2.72361412,2.721246168,2.898098341,2.710648519,2.81255048,2.767532812,2.623585361,2.66627416,2.677898963,2.703528697,2.915266645,2.750976558,2.686690461,2.750278991,2.666473805,2.722167511,2.783709763,2.736408935,2.716981626,2.732599869,2.71923219,2.743424707,2.813932185,2.794415503,2.756280036,2.649875682,
[steps],50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Degree-of-Separation,Average
,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818
,2.715116279,2.715116279,2.715116279,1.793478261,2.715116279,2.715116279,1.793478261,2.715116279,1.793478261,1.793478261,1.793478261,1.793478261,1.793478261,2.715116279,2.836842105,2.410526316,1.793478261,1.793478261,2.308139535,1.793478261,1.793478261,2.815789474,1.793478261,2.815789474,1.793478261,1.793478261,1.793478261,2.715116279,2.715116279,2.715116279,2.715116279,1.793478261,2.715116279,1.793478261,2.715116279,1.793478261,2.321052632,2.715116279,1.793478261,2.715116279,2.715116279,1.793478261,2.715116279,1.793478261,1.793478261,2.715116279,2.715116279,2.715116279,2.747368421,1.793478261,2.276156671
,3.03943662,3.584766585,3.394366197,1.778625954,3.394366197,2.535545024,1.927152318,3.394366197,2.530516432,1.778625954,1.778625954,1.778625954,2.301310044,2.547945205,2.898876404,3.094488189,1.778625954,1.94,2.544850498,1.778625954,2.943319838,2.633187773,2.535545024,2.642553191,2.789473684,1.778625954,2.535545024,2.594713656,3.305921053,2.535545024,2.535545024,1.778625954,2.535545024,1.977777778,3.625287356,1.778625954,2.222707424,2.535545024,1.778625954,2.746478873,3.305921053,2.535545024,2.559471366,3.042763158,1.927152318,2.535545024,3.304668305,3.496062992,3.081364829,2.535545024,2.558659506
,3.422924901,3.323293173,3.647761194,2.762214984,3.374745418,2.62,2.179039301,4.03268945,3.213032581,2.670854271,2.501805054,2.864450128,2.21402214,3.212345679,3.710691824,3.21031746,2.501805054,2.619771863,3.30730897,1.984771574,2.714285714,3.646825397,2.684039088,2.466216216,2.636678201,1.984771574,3.219143577,2.56187291,4.293375394,2.531147541,2.769230769,2.034482759,2.513986014,2.02166065,4.9,1.904761905,2.18815331,2.522058824,1.768786127,3.75127551,3.476076555,2.642857143,2.690962099,3.844413013,1.987288136,2.403162055,4.053777209,4.012693935,2.897091723,2.909090909,2.908080185
,3.703974895,5.539106145,3.62804878,3.082872928,3.607187113,2.502890173,4.048364154,4.185661765,4.785714286,3.350931677,3.362295082,3.728553137,3.35161744,3.082352941,3.854193548,3.737062937,2.654929577,2.677184466,3.475765306,2.791540785,3.949494949,3.487272727,3.651491366,4.608738828,2.635,3.801785714,4.602977667,3.011824324,4.255629139,3.556982343,3.787801779,2.498630137,3.160569106,2.411157025,5.449927431,2.199288256,2.763116057,2.887892377,2.344410876,3.817641229,4.339361702,2.782608696,2.811494253,3.90539484,2.457671958,3.771283355,4.422413793,4.069457659,3.531216931,3.302816901,3.508511971
,3.747058824,5.421981004,3.997464074,5.113043478,4.132172792,3.764197531,4.954967834,4.34001542,6.418879056,3.998786408,3.525703201,4.054114994,3.767619048,3.694198623,4.658753709,3.607940447,4.567400881,2.741347905,4.012898331,2.846320346,4.940816327,3.798339265,4.893203883,5.568984547,3.181058496,5.008517888,4.294782609,2.99609883,4.356392294,4.280094414,3.702970297,3.703815261,3.824612403,2.592647059,5.258596974,2.784968685,4.03125,3.5496614,3.345724907,3.808372093,4.103247294,4.517450683,4.739695088,4.197020663,3.148201439,4.05158371,5.362419435,4.303507516,4.893156081,3.643153527,4.124904139
