BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version-6_1.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment-10-Connection-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/27/2023 16:42:04:708 +0530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,
[mean],15.64230715,15.40359905,15.75113182,15.54924974,15.00485063,16.05911336,15.47650217,16.06887549,15.72425877,15.49118851,15.71690773,15.27639843,15.32115599,15.27230749,15.44044778,15.63426228,15.25548832,15.23580985,15.35143389,15.23775114,15.13471565,15.60269234,15.53807295,15.15930836,15.46577405,15.69280043,15.03863611,15.1437843,15.66717842,15.70043718,15.25002354,15.54010607,15.50777587,15.40103796,15.74876701,15.55853466,15.46817776,15.53431081,14.70101975,15.94218001,15.7437432,15.35665411,15.58613634,15.40590852,15.46658402,15.66631252,15.6053774,15.38806352,15.46357751,15.7463214,
[steps],50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756
,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.723809524,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.723809524,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.723809524,0.704761905,0.723809524,0.704761905,0.704761905,0.723809524,0.704761905,0.706666667
,0.846511628,0.846511628,0.865116279,0.865116279,0.865116279,0.865116279,0.846511628,0.865116279,0.865116279,0.865116279,0.865116279,0.846511628,0.865116279,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.865116279,0.846511628,0.846511628,0.865116279,0.846511628,0.846511628,0.865116279,0.865116279,0.846511628,0.846511628,0.865116279,0.846511628,0.846511628,0.846511628,0.846511628,0.865116279,0.846511628,0.865116279,0.846511628,0.846511628,0.865116279,0.846511628,0.852837209
,1.018181818,0.990909091,1.018181818,1.018181818,1.036363636,1.018181818,0.990909091,1.018181818,1.036363636,1.018181818,1.036363636,0.990909091,1.018181818,1.018181818,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,1.018181818,0.990909091,0.990909091,1.018181818,0.990909091,0.990909091,1.018181818,1.018181818,1.018181818,1.054545455,1.018181818,0.990909091,1.054545455,1.018181818,0.990909091,0.990909091,1.018181818,0.990909091,0.990909091,1.018181818,0.990909091,1.018181818,1.018181818,1.036363636,0.990909091,0.990909091,1.018181818,1.018181818,1.008545455
,1.173333333,1.146666667,1.173333333,1.173333333,1.217777778,1.2,1.146666667,1.173333333,1.217777778,1.2,1.2,1.191111111,1.173333333,1.173333333,1.146666667,1.191111111,1.146666667,1.146666667,1.146666667,1.191111111,1.146666667,1.146666667,1.173333333,1.146666667,1.146666667,1.217777778,1.146666667,1.164444444,1.173333333,1.173333333,1.2,1.217777778,1.2,1.146666667,1.217777778,1.2,1.146666667,1.146666667,1.173333333,1.146666667,1.146666667,1.2,1.164444444,1.173333333,1.173333333,1.2,1.164444444,1.164444444,1.173333333,1.173333333,1.173866667
,1.339130435,1.313043478,1.339130435,1.339130435,1.408695652,1.408695652,1.313043478,1.339130435,1.391304348,1.391304348,1.391304348,1.365217391,1.339130435,1.339130435,1.313043478,1.382608696,1.330434783,1.313043478,1.313043478,1.365217391,1.313043478,1.356521739,1.339130435,1.313043478,1.313043478,1.408695652,1.313043478,1.330434783,1.365217391,1.339130435,1.373913043,1.408695652,1.373913043,1.313043478,1.391304348,1.373913043,1.330434783,1.330434783,1.365217391,1.313043478,1.330434783,1.373913043,1.356521739,1.339130435,1.339130435,1.408695652,1.373913043,1.330434783,1.365217391,1.339130435,1.351130435
