"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"Rate-of-connection","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"add-people","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"connection-plot?","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"Rate-of-interTeam-connection","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"separation-plot?","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"num-teams","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"num-people","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"[reporter]","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation"
"[mean]","0.8675279553271951","0.8360180752732429","0.858235821503273","0.8434385489685694","0.8529860857993693","0.8309068053828119","0.835104894267086","0.83390683151232","0.8507171212352492","0.8341253622040078","0.8293102709111083","0.8195746021454372","0.8570707416261331","0.8403848201115532","0.8328254101750764","0.8770302220102009","0.8464077091538078","0.8474172874011852","0.8393082503478513","0.8490254472808078","0.8553509843478583","0.8345555364875924","0.8433672348514302","0.8477328837356839","0.8109575762236603","0.8389463082990701","0.8458356929558393","0.8567611096876132","0.8418045726833133","0.8222932119976075","0.838719004555447","0.8119567315008038","0.8212039698328962","0.8508351681266919","0.8435639546588231","0.8374260185514165","0.8028950424013114","0.8148248878467378","0.8305387201213295","0.8352791107071236","0.8671891338226263","0.8557715964143305","0.8452513521257669","0.8371243368591923","0.8299367596757472","0.8441204526745583","0.8556727610515924","0.8241613804950708","0.8311297922473415","0.8565243467599545"
"[steps]","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50"

"[all run data]","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation","Degree-of-Separation"
,"0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582","0.0011306532663316582"
,"0.008417025346724056","0.0034672405547584886","0.006049736967957915","0.013055954088952654","0.017479674796747967","0.008417025346724056","0.015518890483022477","0.017479674796747967","0.0071257771401243425","0.018914395026303203","0.008417025346724056","0.007723577235772358","0.018914395026303203","0.008417025346724056","0.008417025346724056","0.007723577235772358","0.007723577235772358","0.017479674796747967","0.008417025346724056","0.015064562410329985","0.0034672405547584886","0.017479674796747967","0.0071257771401243425","0.008417025346724056","0.018914395026303203","0.006910569105691057","0.0034672405547584886","0.017479674796747967","0.0071257771401243425","0.007723577235772358","0.0034672405547584886","0.0034672405547584886","0.018914395026303203","0.0034672405547584886","0.008417025346724056","0.0034672405547584886","0.015447154471544716","0.0034672405547584886","0.007723577235772358","0.0034672405547584886","0.018914395026303203","0.0071257771401243425","0.008417025346724056","0.017479674796747967","0.017479674796747967","0.0034672405547584886","0.006767097082735533","0.0034672405547584886","0.0034672405547584886","0.0071257771401243425"
,"0.025427204374572795","0.008931419457735247","0.02959671907040328","0.04570517202096149","0.02704488493962178","0.021622237411711095","0.051446798815219866","0.052722715880610616","0.05039872408293461","0.027956254272043745","0.02305764411027569","0.06222374117110959","0.041285030758714966","0.05545682387787651","0.038049669628617","0.020141262246525404","0.009933925723399408","0.05541125541125541","0.03841421736158578","0.06051492367281841","0.04285714285714286","0.037366142629300526","0.029505582137161084","0.02223741171109592","0.05026201868307131","0.02406015037593985","0.0240829346092504","0.05194805194805195","0.028001822738664844","0.016381863750284803","0.01189336978810663","0.022328548644338118","0.03558897243107769","0.017543859649122806","0.06293005240373661","0.018956482114376852","0.030462519936204146","0.005149236728184097","0.012576896787423103","0.013784461152882205","0.06215538847117794","0.030348598769651403","0.03520164046479836","0.03643198906356801","0.01922989291410344","0.009523809523809525","0.023877876509455456","0.01793119161540214","0.009979494190020506","0.03258145363408521"
,"0.1494457726581178","0.12705933492718974","0.03727450554227342","0.12136492066941969","0.05631384481634427","0.04803303629645729","0.1224951097587481","0.12451640947620082","0.07370136926755053","0.06837643990436862","0.1633557922190828","0.12051727885242339","0.12449467507063681","0.0902847207128885","0.08685068463377527","0.0808302542925451","0.053814388176483374","0.0880460769397957","0.06531188871984352","0.09645729189306672","0.044816344272984136","0.1080417300586829","0.14596826776787655","0.1564225168441643","0.0825038035209737","0.16126928928493806","0.13307976526841991","0.07454901108454684","0.105542273418822","0.09117583134101283","0.07459247989567486","0.18654640295587915","0.09145837861334492","0.1016952836339926","0.08776352966746359","0.12566833297109323","0.07496196479026299","0.03077591827863508","0.028928493805694414","0.09074114322973267","0.11836557270158661","0.14096935448815476","0.11971310584655509","0.09676157357096284","0.06524668550315149","0.08891545316235601","0.13299282764616388","0.10597696153010215","0.07956965876983264","0.08741577917843947"
,"0.2671025321710253","0.17515566625155665","0.1244914902449149","0.22511415525114156","0.13613532586135327","0.20813615608136157","0.2368617683686177","0.20888335408883354","0.21897052718970528","0.24242424242424243","0.27214611872146116","0.1487546699875467","0.24985471149854713","0.1524076380240764","0.16400996264009962","0.23185969281859692","0.3364466583644666","0.22295558322955583","0.13582399335823994","0.16704026567040264","0.24495641344956415","0.20730593607305936","0.246596097965961","0.23899958488999584","0.12787463677874636","0.25","0.21953092569530927","0.2047530095475301","0.19881693648816937","0.21425902864259028","0.14771689497716894","0.21170610211706103","0.19171855541718555","0.20197177251971773","0.1615400581154006","0.2217725197177252","0.11647986716479868","0.07428393524283936","0.09892071398920714","0.23931091739310917","0.12125363221253632","0.21589871315898712","0.30510585305105853","0.1728725612287256","0.1387920298879203","0.1792860107928601","0.2866957243669572","0.21998754669987547","0.19966791199667913","0.18740141137401412"
,"0.4247619047619048","0.2328174603174603","0.30107142857142855","0.26248015873015873","0.2559920634920635","0.3082936507936508","0.3209920634920635","0.3509325396825397","0.3640277777777778","0.2613095238095238","0.3084722222222222","0.2094047619047619","0.4404166666666667","0.29021825396825396","0.2634920634920635","0.30432539682539683","0.31682539682539684","0.2875595238095238","0.23938492063492064","0.26672619047619045","0.5519642857142857","0.2749404761904762","0.3619047619047619","0.3648015873015873","0.19295634920634921","0.37214285714285716","0.27998015873015875","0.24","0.2668253968253968","0.24853174603174602","0.31285714285714283","0.24543650793650792","0.2532142857142857","0.3307738095238095","0.2553373015873016","0.276765873015873","0.1798015873015873","0.31140873015873016","0.17773809523809525","0.3080357142857143","0.4095634920634921","0.28680555555555554","0.3238888888888889","0.23015873015873015","0.19771825396825396","0.2873611111111111","0.43041666666666667","0.2905952380952381","0.3556944444444444","0.28160714285714283"
