"BehaviorSpace results (NetLogo 6.3.0)"
"Version-1.nlogo"
"experiment-2"
"03/27/2023 18:16:42:613 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-13","13","-13","13"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"Rate-of-connection","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"add-people","2","2","2","2","2","2","2","2","2","2","2"
"num-teams","5","5","5","5","5","5","5","5","5","5","5"
"num-people","10","10","10","10","10","10","10","10","10","10","10"
"[reporter]","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)"
"[final]","0.044444444444444446","5.315555555555555","11.026666666666667","14.337777777777777","20.915555555555557","26.27111111111111","26.115555555555556","30.622222222222224","36.41777777777778","30.54222222222222","31.102222222222224"
"[min]","0.044444444444444446","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"[max]","0.4","5.315555555555555","11.026666666666667","14.337777777777777","20.915555555555557","26.27111111111111","26.115555555555556","30.622222222222224","36.433035714285715","30.5625","31.102222222222224"
"[mean]","0.11042678932773069","2.9812100984643286","6.099969979322855","7.64465229124735","10.589772443193532","13.504356548681177","13.912918429142815","15.99998100683817","19.23954973544769","16.60804607018313","16.890774287972416"
"[steps]","200","200","200","200","200","200","200","200","200","200","200"

"[all run data]","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)","2 * (count links) / (count turtles)"
,"0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
,"0.38461538461538464","0.4230769230769231","0.46153846153846156","0.5","0.5384615384615384","0.5769230769230769","0.6153846153846154","0.6538461538461539","0.6923076923076923","0.7307692307692307","0.7307692307692307"
,"0.37037037037037035","0.4444444444444444","0.5185185185185185","0.5925925925925926","0.6666666666666666","0.7777777777777778","0.8888888888888888","0.8888888888888888","0.7037037037037037","1","1.037037037037037"
,"0.35714285714285715","0.4642857142857143","0.6071428571428571","0.7142857142857143","0.8214285714285714","0.9285714285714286","1.1428571428571428","1.2142857142857142","0.9642857142857143","1.2142857142857142","1.3214285714285714"
,"0.3448275862068966","0.5172413793103449","0.6896551724137931","0.7931034482758621","0.9655172413793104","1.103448275862069","1.3793103448275863","1.5172413793103448","1.2758620689655173","1.4827586206896552","1.7241379310344827"
,"0.3333333333333333","0.5666666666666667","0.7666666666666667","0.9333333333333333","1.1","1.2666666666666666","1.6333333333333333","1.5333333333333334","1.5666666666666667","2","2.1"
,"0.3225806451612903","0.6129032258064516","0.8387096774193549","1.032258064516129","1.2580645161290323","1.3548387096774193","1.8709677419354838","1.7096774193548387","1.8064516129032258","2.193548387096774","2.4838709677419355"
,"0.3125","0.65625","0.9375","1.15625","1.375","1.5","2.0625","2.03125","2.0625","2.40625","2.6875"
,"0.30303030303030304","0.696969696969697","1","1.2424242424242424","1.4545454545454546","1.6666666666666667","2.303030303030303","2.272727272727273","2.303030303030303","2.8181818181818183","2.9393939393939394"
,"0.29411764705882354","0.7058823529411765","1.0588235294117647","1.3529411764705883","1.5588235294117647","1.8529411764705883","2.5294117647058822","2.411764705882353","2.5","3.0294117647058822","3.088235294117647"
,"0.2857142857142857","0.7428571428571429","1.1142857142857143","1.4","1.6857142857142857","2.0285714285714285","2.7142857142857144","2.5428571428571427","2.4571428571428573","3.142857142857143","3.1142857142857143"
,"0.2777777777777778","0.7777777777777778","1.1666666666666667","1.5","1.8055555555555556","2.138888888888889","2.7222222222222223","2.7222222222222223","2.611111111111111","3.4722222222222223","3.4444444444444446"
,"0.2702702702702703","0.8108108108108109","1.2432432432432432","1.5945945945945945","1.8918918918918919","2.081081081081081","2.864864864864865","2.972972972972973","2.5675675675675675","3.8378378378378377","3.675675675675676"
,"0.2631578947368421","0.8421052631578947","1.2894736842105263","1.6578947368421053","2","2.263157894736842","3.0526315789473686","3.026315789473684","2.9210526315789473","3.736842105263158","3.9210526315789473"
,"0.2564102564102564","0.8717948717948718","1.3333333333333333","1.7435897435897436","2.1794871794871793","2.358974358974359","3.1794871794871793","3.230769230769231","3.051282051282051","4.051282051282051","4.128205128205129"
,"0.25","0.9","1.425","1.825","2.275","2.55","3.375","3.5","3.375","4","4.375"
,"0.24390243902439024","0.926829268292683","1.4878048780487805","1.9024390243902438","2.3902439024390243","2.658536585365854","3.5365853658536586","3.4146341463414633","3.682926829268293","3.951219512195122","4.609756097560975"
,"0.23809523809523808","0.9523809523809523","1.5238095238095237","1.9761904761904763","2.5476190476190474","2.761904761904762","3.6904761904761907","3.6666666666666665","4","4.0476190476190474","4.904761904761905"
,"0.23255813953488372","0.9767441860465116","1.5813953488372092","2.046511627906977","2.6744186046511627","2.883720930232558","3.86046511627907","3.813953488372093","4.186046511627907","4.116279069767442","5.069767441860465"
,"0.22727272727272727","1","1.6363636363636365","2.1363636363636362","2.75","3.090909090909091","3.977272727272727","4.090909090909091","4.545454545454546","4.431818181818182","5.136363636363637"
,"0.2222222222222222","1.0222222222222221","1.6888888888888889","2.2222222222222223","2.888888888888889","3.2888888888888888","4.2","4.355555555555555","4.844444444444444","4.377777777777778","5.4222222222222225"
,"0.21739130434782608","1.0434782608695652","1.7391304347826086","2.282608695652174","3.0217391304347827","3.5","4.304347826086956","4.413043478260869","4.978260869565218","4.717391304347826","5.739130434782608"
,"0.2127659574468085","1.0851063829787233","1.7872340425531914","2.382978723404255","3.0851063829787235","3.702127659574468","4.468085106382978","4.617021276595745","5.297872340425532","5.0212765957446805","5.957446808510638"
,"0.20833333333333334","1.125","1.8958333333333333","2.4791666666666665","3.1458333333333335","3.8333333333333335","4.6875","4.6875","5.583333333333333","5.166666666666667","6"
,"0.20408163265306123","1.1428571428571428","1.9591836734693877","2.5714285714285716","3.163265306122449","3.8979591836734695","4.795918367346939","4.918367346938775","5.714285714285714","5.469387755102041","6.224489795918367"
,"0.2","1.16","1.98","2.66","3.24","4.06","4.92","5.12","6.02","5.8","6.44"
,"0.19607843137254902","1.1764705882352942","2","2.764705882352941","3.3333333333333335","4.196078431372549","5.117647058823529","5.392156862745098","6.352941176470588","6.078431372549019","6.803921568627451"
,"0.19230769230769232","1.1923076923076923","2.0384615384615383","2.826923076923077","3.423076923076923","4.230769230769231","5.288461538461538","5.615384615384615","6.403846153846154","6.115384615384615","6.980769230769231"
,"0.18867924528301888","1.2075471698113207","2.1320754716981134","2.8867924528301887","3.5660377358490565","4.39622641509434","5.339622641509434","5.7924528301886795","6.320754716981132","6.433962264150943","6.943396226415095"
