who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,team-number,manager?,visited?
193,117,299,5.075380293,8.98480962,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
194,117,346,5.708078104,9.470295726,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
195,117,245,5.95,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
196,117,290,5.010307379,8.842020143,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
197,117,312,4.463710349,9.838261213,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
198,117,327,5.405360965,9.338670568,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,1,TRUE
199,117,108,6.901056516,8.190983006,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",9,0,TRUE
200,19,108,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
201,19,108,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
202,19,108,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
203,19,108,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
204,19,108,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
205,87,89,7.65,-4.25,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",8,0,TRUE
206,87,89,7.65,-4.25,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",8,0,TRUE
207,87,89,7.65,-4.25,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",8,0,TRUE
208,87,89,7.65,-4.25,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",8,0,TRUE
209,87,89,7.65,-4.25,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",8,0,TRUE
210,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
211,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
212,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
213,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
214,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
215,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
216,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
217,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
218,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
219,35,332,2.461056874,1.765895186,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
220,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
221,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
222,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
223,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
224,19,19,-2.224431846,8.595518576,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
225,26,148,1.909838528,-0.846096192,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
226,26,148,1.909838528,-0.846096192,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
227,26,148,1.909838528,-0.846096192,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
228,26,148,1.909838528,-0.846096192,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
229,26,148,1.909838528,-0.846096192,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
230,19,90,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
231,19,90,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
232,19,90,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
233,19,90,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
234,19,90,-2.55,7.65,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
235,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
236,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
237,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
238,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
239,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
240,63,9,-4.093565535,4.387688341,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
241,63,9,-4.093565535,4.387688341,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
242,63,9,-4.093565535,4.387688341,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
243,63,9,-4.093565535,4.387688341,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
244,63,9,-4.093565535,4.387688341,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
245,118,41,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
246,118,41,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
247,118,41,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
248,118,41,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
249,118,41,0,8.5,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",2,0,TRUE
250,35,230,1.867911114,-1.285575219,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
251,35,230,1.867911114,-1.285575219,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
252,35,230,1.867911114,-1.285575219,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
253,35,230,1.867911114,-1.285575219,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
254,35,230,1.867911114,-1.285575219,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",6,0,TRUE
255,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
256,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
257,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
258,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
259,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
260,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
261,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
262,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
263,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
264,26,197,0.557628295,-0.106304756,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
265,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
266,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
267,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
268,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
269,26,147,0.85,0.85,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",1,0,TRUE
270,54,39,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
271,54,39,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
272,54,39,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
273,54,39,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
274,54,39,-1.7,6.8,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",3,0,TRUE
275,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
276,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
277,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
278,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
279,19,188,-2.828346202,5.669463863,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",5,0,TRUE
280,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
281,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
282,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
283,63,356,-4.319756474,4.39756405,"""person""","""""",9.9,{all-turtles},FALSE,1.5,1,"""up""",4,0,TRUE
