[reporter],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,
[max],44.32444444,44.86666667,45.77777778,44.71111111,44.61333333,45.02666667,46.60444444,44.48888889,43.05777778,44.88,42.60444444,47.05333333,44.38666667,48.02222222,42.80444444,42.99555556,45.71555556,46.24,45.19111111,45.11111111,43.91555556,46.71555556,44.74222222,43.92444444,46.10666667,45.92888889,46.07555556,44.09333333,46.18222222,43.77333333,45.36444444,46.65333333,43.48444444,44.54222222,44.98666667,45.31111111,43.5011236,46.64444444,45.21333333,46.09777778,46.15555556,44.83111111,47.47555556,45.96888889,46.58666667,45.91111111,45.43111111,45.47555556,46.01333333,45.73333333,
[mean],15.60626022,15.48318721,15.2508491,15.61566143,14.97829127,15.38091045,15.63131463,14.8857403,14.72531696,14.99621237,14.86482554,15.91161361,14.92573227,16.48782952,14.62483165,14.79315121,15.27554182,15.41668677,15.2777772,15.64843141,15.03158061,15.65124356,15.61557175,14.91607479,15.49929856,15.63429003,15.45072451,15.20092339,15.62309983,14.96519221,15.54801102,15.8991242,15.30679854,15.73010562,15.24536726,15.21007837,14.94284142,15.69330493,15.88021037,15.52256702,15.59337712,15.84404064,16.20091746,15.4429255,15.71216486,15.49659134,15.3454945,15.90135195,15.43086118,15.47958941,
[steps],50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[all run data],Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Degree-of-Connection,Average
,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756,0.575609756
,0.704761905,0.723809524,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.723809524,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.723809524,0.704761905,0.704761905,0.704761905,0.704761905,0.704761905,0.723809524,0.704761905,0.704761905,0.706285714
,0.846511628,0.865116279,0.846511628,0.846511628,0.865116279,0.846511628,0.865116279,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.865116279,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.846511628,0.865116279,0.846511628,0.846511628,0.846511628,0.846511628,0.865116279,0.846511628,0.865116279,0.865116279,0.846511628,0.846511628,0.865116279,0.846511628,0.846511628,0.865116279,0.865116279,0.865116279,0.850976744
,0.990909091,1.036363636,0.990909091,1.018181818,1.018181818,1.018181818,1.018181818,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,1.036363636,0.990909091,1.018181818,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,1.036363636,0.990909091,0.990909091,1.036363636,1.018181818,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,0.990909091,1.036363636,0.990909091,0.990909091,0.990909091,0.990909091,1.018181818,0.990909091,1.018181818,1.054545455,0.990909091,0.990909091,1.018181818,0.990909091,0.990909091,1.036363636,1.018181818,1.036363636,1.004
,1.164444444,1.2,1.164444444,1.2,1.217777778,1.173333333,1.2,1.146666667,1.164444444,1.164444444,1.146666667,1.146666667,1.146666667,1.2,1.146666667,1.217777778,1.146666667,1.146666667,1.146666667,1.164444444,1.146666667,1.208888889,1.217777778,1.146666667,1.146666667,1.2,1.173333333,1.146666667,1.146666667,1.146666667,1.164444444,1.146666667,1.146666667,1.2,1.164444444,1.191111111,1.146666667,1.146666667,1.173333333,1.146666667,1.2,1.253333333,1.146666667,1.146666667,1.173333333,1.146666667,1.146666667,1.2,1.173333333,1.2,1.169955556
,1.391304348,1.373913043,1.330434783,1.391304348,1.391304348,1.365217391,1.373913043,1.330434783,1.330434783,1.330434783,1.313043478,1.313043478,1.313043478,1.373913043,1.330434783,1.408695652,1.330434783,1.330434783,1.313043478,1.330434783,1.356521739,1.434782609,1.391304348,1.356521739,1.313043478,1.391304348,1.339130435,1.313043478,1.313043478,1.330434783,1.356521739,1.330434783,1.330434783,1.373913043,1.356521739,1.365217391,1.313043478,1.313043478,1.339130435,1.313043478,1.373913043,1.426086957,1.313043478,1.330434783,1.365217391,1.313043478,1.313043478,1.391304348,1.339130435,1.373913043,1.348695652
,1.574468085,1.591489362,1.531914894,1.574468085,1.574468085,1.565957447,1.574468085,1.514893617,1.514893617,1.514893617,1.489361702,1.514893617,1.489361702,1.557446809,1.514893617,1.591489362,1.514893617,1.514893617,1.514893617,1.531914894,1.574468085,1.625531915,1.591489362,1.540425532,1.531914894,1.591489362,1.523404255,1.514893617,1.489361702,1.531914894,1.574468085,1.514893617,1.531914894,1.574468085,1.557446809,1.565957447,1.489361702,1.531914894,1.540425532,1.531914894,1.574468085,1.668085106,1.514893617,1.531914894,1.54893617,1.514893617,1.514893617,1.574468085,1.523404255,1.574468085,1.544680851
,1.85,1.791666667,1.741666667,1.775,1.808333333,1.816666667,1.791666667,1.725,1.708333333,1.708333333,1.683333333,1.783333333,1.683333333,1.775,1.708333333,1.825,1.725,1.725,1.725,1.725,1.775,1.825,1.825,1.733333333,1.725,1.808333333,1.716666667,1.708333333,1.683333333,1.725,1.775,1.766666667,1.741666667,1.808333333,1.758333333,1.783333333,1.733333333,1.741666667,1.733333333,1.725,1.808333333,1.908333333,1.766666667,1.725,1.783333333,1.725,1.708333333,1.791666667,1.733333333,1.775,1.757833333
,2.065306122,2.024489796,1.967346939,1.991836735,2.057142857,2.032653061,2.040816327,1.951020408,1.918367347,1.934693878,1.885714286,2.032653061,1.942857143,2.081632653,1.934693878,2.081632653,1.967346939,1.951020408,1.951020408,1.991836735,2.008163265,2.057142857,2.057142857,1.975510204,1.967346939,2.024489796,1.926530612,1.918367347,1.885714286,1.934693878,2.024489796,1.975510204,1.991836735,2.040816327,2.008163265,2.016326531,1.942857143,1.967346939,1.975510204,1.934693878,2.024489796,2.130612245,2.032653061,1.991836735,2.016326531,1.934693878,1.934693878,2.024489796,1.959183673,2.008163265,1.989877551
,2.304,2.272,2.216,2.24,2.288,2.264,2.288,2.216,2.16,2.216,2.128,2.264,2.184,2.408,2.192,2.32,2.216,2.192,2.192,2.24,2.24,2.288,2.328,2.2,2.216,2.288,2.184,2.144,2.176,2.16,2.272,2.256,2.256,2.312,2.256,2.248,2.168,2.232,2.256,2.192,2.256,2.44,2.28,2.24,2.264,2.176,2.16,2.272,2.184,2.24,2.23968
,2.556862745,2.541176471,2.462745098,2.525490196,2.541176471,2.564705882,2.556862745,2.478431373,2.439215686,2.462745098,2.384313725,2.517647059,2.447058824,2.666666667,2.470588235,2.57254902,2.478431373,2.454901961,2.454901961,2.525490196,2.501960784,2.541176471,2.580392157,2.447058824,2.478431373,2.556862745,2.431372549,2.4,2.470588235,2.415686275,2.541176471,2.556862745,2.541176471,2.603921569,2.525490196,2.494117647,2.431372549,2.494117647,2.556862745,2.48627451,2.501960784,2.737254902,2.603921569,2.541176471,2.533333333,2.470588235,2.4,2.525490196,2.447058824,2.48627451,2.508078431
,2.846153846,2.815384615,2.746153846,2.815384615,2.815384615,2.838461538,2.830769231,2.746153846,2.723076923,2.761538462,2.661538462,2.823076923,2.730769231,2.984615385,2.738461538,2.861538462,2.776923077,2.723076923,2.738461538,2.830769231,2.807692308,2.830769231,2.853846154,2.730769231,2.761538462,2.846153846,2.707692308,2.661538462,2.738461538,2.692307692,2.861538462,2.846153846,2.846153846,2.930769231,2.815384615,2.761538462,2.692307692,2.792307692,2.876923077,2.753846154,2.784615385,3.038461538,2.946153846,2.830769231,2.853846154,2.738461538,2.692307692,2.830769231,2.730769231,2.784615385,2.796923077
,3.20754717,3.139622642,3.033962264,3.139622642,3.109433962,3.169811321,3.154716981,3.064150943,3.071698113,3.049056604,2.943396226,3.132075472,3.033962264,3.320754717,3.026415094,3.177358491,3.064150943,3.026415094,3.041509434,3.19245283,3.147169811,3.124528302,3.169811321,3.086792453,3.064150943,3.177358491,3.011320755,2.973584906,3.041509434,3.011320755,3.177358491,3.19245283,3.154716981,3.283018868,3.139622642,3.049056604,3.011320755,3.147169811,3.222641509,3.056603774,3.094339623,3.366037736,3.252830189,3.154716981,3.147169811,3.056603774,2.988679245,3.139622642,3.018867925,3.094339623,3.113056604
,3.533333333,3.474074074,3.392592593,3.474074074,3.422222222,3.503703704,3.488888889,3.392592593,3.466666667,3.392592593,3.259259259,3.466666667,3.377777778,3.666666667,3.37037037,3.533333333,3.392592593,3.355555556,3.37037037,3.548148148,3.466666667,3.474074074,3.540740741,3.4,3.407407407,3.533333333,3.355555556,3.281481481,3.355555556,3.318518519,3.533333333,3.533333333,3.488888889,3.659259259,3.474074074,3.377777778,3.355555556,3.481481481,3.548148148,3.4,3.459259259,3.718518519,3.6,3.503703704,3.481481481,3.37037037,3.311111111,3.540740741,3.362962963,3.444444444,3.453185185
,3.963636364,3.883636364,3.76,3.832727273,3.781818182,3.869090909,3.854545455,3.745454545,3.890909091,3.730909091,3.621818182,3.861818182,3.745454545,4.138181818,3.738181818,3.898181818,3.745454545,3.709090909,3.738181818,3.912727273,3.825454545,3.818181818,3.905454545,3.803636364,3.781818182,3.898181818,3.709090909,3.643636364,3.752727273,3.650909091,3.898181818,3.949090909,3.869090909,4.050909091,3.883636364,3.730909091,3.694545455,3.825454545,3.898181818,3.774545455,3.818181818,4.101818182,4.021818182,3.854545455,3.84,3.738181818,3.658181818,3.941818182,3.730909091,3.818181818,3.826181818
,4.414285714,4.278571429,4.157142857,4.221428571,4.185714286,4.264285714,4.242857143,4.128571429,4.35,4.128571429,4.028571429,4.235714286,4.128571429,4.535714286,4.135714286,4.292857143,4.128571429,4.135714286,4.15,4.292857143,4.2,4.207142857,4.3,4.178571429,4.185714286,4.278571429,4.085714286,4.078571429,4.121428571,4.007142857,4.292857143,4.35,4.278571429,4.492857143,4.307142857,4.128571429,4.085714286,4.264285714,4.278571429,4.142857143,4.235714286,4.514285714,4.414285714,4.228571429,4.264285714,4.185714286,4.078571429,4.342857143,4.114285714,4.207142857,4.225714286
,4.940350877,4.764912281,4.575438596,4.659649123,4.603508772,4.701754386,4.666666667,4.540350877,4.764912281,4.526315789,4.449122807,4.659649123,4.540350877,5.10877193,4.596491228,4.701754386,4.540350877,4.547368421,4.568421053,4.764912281,4.666666667,4.624561404,4.729824561,4.610526316,4.61754386,4.736842105,4.554385965,4.505263158,4.58245614,4.428070175,4.764912281,4.764912281,4.750877193,4.954385965,4.764912281,4.554385965,4.498245614,4.701754386,4.736842105,4.540350877,4.701754386,4.961403509,4.898245614,4.680701754,4.722807018,4.61754386,4.533333333,4.849122807,4.554385965,4.645614035,4.669473684
,5.406896552,5.227586207,5.006896552,5.103448276,5.055172414,5.144827586,5.124137931,4.986206897,5.213793103,4.95862069,4.931034483,5.131034483,5,5.613793103,5.062068966,5.15862069,5,4.993103448,5,5.248275862,5.137931034,5.075862069,5.220689655,5.110344828,5.103448276,5.248275862,4.986206897,4.965517241,5.062068966,4.868965517,5.275862069,5.289655172,5.275862069,5.462068966,5.227586207,5,4.972413793,5.234482759,5.262068966,5.062068966,5.220689655,5.44137931,5.372413793,5.151724138,5.213793103,5.055172414,5.04137931,5.4,5.048275862,5.131034483,5.145655172
,5.938983051,5.728813559,5.477966102,5.654237288,5.559322034,5.688135593,5.661016949,5.471186441,5.715254237,5.498305085,5.457627119,5.654237288,5.484745763,6.162711864,5.566101695,5.640677966,5.484745763,5.477966102,5.511864407,5.755932203,5.681355932,5.566101695,5.73559322,5.586440678,5.593220339,5.73559322,5.484745763,5.430508475,5.593220339,5.369491525,5.810169492,5.783050847,5.796610169,6,5.742372881,5.484745763,5.471186441,5.755932203,5.830508475,5.538983051,5.722033898,5.959322034,5.884745763,5.681355932,5.715254237,5.620338983,5.545762712,5.945762712,5.538983051,5.613559322,5.656135593
,6.513333333,6.273333333,5.986666667,6.206666667,6.073333333,6.246666667,6.2,6.026666667,6.286666667,6.026666667,6.006666667,6.22,6.006666667,6.773333333,6.14,6.233333333,6.026666667,6,6.066666667,6.32,6.253333333,6.1,6.306666667,6.18,6.153333333,6.293333333,6.066666667,5.953333333,6.186666667,5.9,6.36,6.32,6.346666667,6.566666667,6.286666667,6.04,6.04,6.346666667,6.44,6.14,6.293333333,6.52,6.44,6.233333333,6.273333333,6.226666667,6.106666667,6.506666667,6.066666667,6.16,6.2148
,7.206557377,6.86557377,6.583606557,6.878688525,6.701639344,6.878688525,6.780327869,6.609836066,6.950819672,6.655737705,6.57704918,6.891803279,6.603278689,7.390163934,6.73442623,6.819672131,6.609836066,6.636065574,6.668852459,6.970491803,6.852459016,6.747540984,6.924590164,6.773770492,6.760655738,6.91147541,6.668852459,6.518032787,6.813114754,6.445901639,6.996721311,6.957377049,6.957377049,7.206557377,6.891803279,6.62295082,6.62295082,6.944262295,7.101639344,6.721311475,6.898360656,7.160655738,7.055737705,6.806557377,6.918032787,6.839344262,6.740983607,7.114754098,6.668852459,6.767213115,6.828459016
,7.870967742,7.503225806,7.225806452,7.606451613,7.329032258,7.548387097,7.412903226,7.258064516,7.580645161,7.322580645,7.251612903,7.548387097,7.251612903,8.070967742,7.361290323,7.470967742,7.238709677,7.329032258,7.322580645,7.619354839,7.490322581,7.374193548,7.580645161,7.393548387,7.432258065,7.55483871,7.303225806,7.129032258,7.44516129,7.090322581,7.632258065,7.632258065,7.606451613,7.903225806,7.548387097,7.270967742,7.193548387,7.619354839,7.761290323,7.348387097,7.55483871,7.851612903,7.722580645,7.451612903,7.587096774,7.503225806,7.367741935,7.774193548,7.277419355,7.412903226,7.478709677
,8.60952381,8.20952381,7.936507937,8.292063492,8.006349206,8.285714286,8.152380952,7.974603175,8.304761905,7.987301587,7.923809524,8.285714286,7.936507937,8.850793651,8.082539683,8.158730159,7.923809524,8.006349206,8.012698413,8.323809524,8.196825397,8.057142857,8.323809524,8.076190476,8.120634921,8.279365079,8.031746032,7.79047619,8.133333333,7.746031746,8.336507937,8.393650794,8.304761905,8.641269841,8.285714286,7.974603175,7.873015873,8.323809524,8.463492063,8.012698413,8.253968254,8.584126984,8.514285714,8.184126984,8.285714286,8.184126984,8.076190476,8.488888889,7.949206349,8.095238095,8.184888889
,9.4375,9,8.65,9.13125,8.75625,9.06875,8.9125,8.75,9.0625,8.70625,8.70625,9.125,8.65,9.79375,8.8625,8.93125,8.73125,8.75625,8.7625,9.1,8.95,8.825,9.0875,8.86875,8.88125,9.05,8.78125,8.51875,8.95,8.4875,9.1,9.2,9.075,9.45625,9.05625,8.70625,8.58125,9.1125,9.25,8.81875,9.025,9.38125,9.34375,8.9625,9.04375,8.975,8.81875,9.2625,8.70625,8.8625,8.960625
,10.27692308,9.858461538,9.44,9.975384615,9.569230769,9.895384615,9.735384615,9.575384615,9.901538462,9.556923077,9.556923077,10.04923077,9.464615385,10.67692308,9.667692308,9.741538462,9.606153846,9.624615385,9.587692308,9.969230769,9.803076923,9.68,9.969230769,9.692307692,9.704615385,9.870769231,9.624615385,9.335384615,9.790769231,9.292307692,9.926153846,10.04923077,9.913846154,10.36923077,9.907692308,9.501538462,9.378461538,9.950769231,10.07384615,9.649230769,9.858461538,10.24615385,10.19076923,9.790769231,9.895384615,9.833846154,9.636923077,10.17230769,9.556923077,9.710769231,9.802092308
,11.25454545,10.78787879,10.32121212,10.94545455,10.46060606,10.78787879,10.63030303,10.45454545,10.82424242,10.42424242,10.47878788,10.95757576,10.38787879,11.67878788,10.54545455,10.69090909,10.5030303,10.4969697,10.48484848,10.93333333,10.7030303,10.58181818,10.8969697,10.58181818,10.59393939,10.77575758,10.52121212,10.27878788,10.74545455,10.16363636,10.82424242,11.01212121,10.89090909,11.32727273,10.83030303,10.38787879,10.21818182,10.9030303,11.03636364,10.52121212,10.76363636,11.18181818,11.16363636,10.69090909,10.81818182,10.70909091,10.53333333,11.15757576,10.46060606,10.6,10.71842424
,12.27462687,11.75522388,11.24179104,11.92835821,11.39104478,11.77313433,11.5761194,11.40895522,11.78507463,11.39104478,11.47462687,11.92835821,11.32537313,12.71044776,11.49253731,11.71940299,11.47462687,11.44477612,11.44477612,11.94029851,11.67761194,11.5761194,11.90447761,11.6119403,11.55820896,11.79701493,11.48059701,11.24776119,11.71343284,11.11044776,11.85074627,12.02985075,11.91044776,12.38208955,11.80298507,11.34925373,11.12835821,11.93432836,12.04179104,11.53432836,11.73134328,12.23880597,12.16716418,11.66567164,11.81492537,11.72537313,11.55820896,12.23880597,11.40298507,11.58208955,11.70495522
,13.41176471,12.83529412,12.27647059,13.07058824,12.42352941,12.84117647,12.69411765,12.45882353,12.86470588,12.44117647,12.55294118,13.00588235,12.34117647,13.88235294,12.58823529,12.75882353,12.59411765,12.48235294,12.45882353,13.04705882,12.76470588,12.65294118,13.02352941,12.69411765,12.59411765,12.86470588,12.53529412,12.29411765,12.84117647,12.13529412,12.91176471,13.12941176,13,13.52352941,12.9,12.38235294,12.14117647,12.67647059,13.19411765,12.60588235,12.79411765,13.32941176,13.37058824,12.74705882,12.9,12.76470588,12.63529412,13.32941176,12.46470588,12.64705882,12.77752941
,14.64347826,13.9826087,13.40289855,14.30144928,13.5826087,14.06376812,13.81449275,13.62318841,14,13.55362319,13.67536232,14.20289855,13.44347826,15.14202899,13.72753623,13.91304348,13.73333333,13.6115942,13.6115942,14.24927536,13.93043478,13.84927536,14.20869565,13.91884058,13.76811594,14.04057971,13.69275362,13.42028986,14.02318841,13.22318841,14.06376812,14.32463768,14.18550725,14.77681159,14.05217391,13.51304348,13.26376812,13.82028986,14.44637681,13.78550725,13.94782609,14.55652174,14.67826087,13.91304348,14.07536232,13.96521739,13.76231884,14.57971014,13.6173913,13.79130435,13.94944928
,16.05714286,15.25142857,14.62285714,15.63428571,14.36,15.31428571,15.12,14.85142857,15.24571429,14.81142857,14.89142857,15.50285714,14.64,16.49714286,14.96,15.16571429,14.97142857,14.82285714,14.86285714,15.58857143,15.22285714,15.14285714,15.52,15.19428571,14.98285714,15.32571429,14.98857143,14.61714286,15.32,14.44,15.30285714,15.63428571,15.44571429,16.10285714,15.32571429,14.75428571,14.45714286,15.05142857,15.80571429,15.05142857,15.21142857,15.88571429,16.10857143,15.2,15.37714286,15.22285714,15.06285714,15.93714286,14.88,15.03428571,15.21554286
